SelfConf1T1,SelfConf2T1,SelfConf3T1,SelfConf4T1,Intr1T1,Intr2T1,Intr3T1,Auton1T1,Auton2T1,Auton3T1,Auton4T1,SelfConf1T2,SelfConf2T2,SelfConf3T2,SelfConf4T2,Intr1T2,Intr2T2,Intr3T2,Auton1T2,Auton2T2,Auton3T2,Auton4T2,L2_achievement
4,5,3,3,5,5,3,1,1,1,3,4,5,3,3,4,3,1,1,3,3,3,15
4,3,3,3,4,3,3,3,3,3,3,3,3,2,4,3,3,3,2,4,3,4,15.5
2,1,1,2,5,5,5,1,1,1,3,1,2,2,2,2,4,3,2,3,2,3,12
4,3,3,4,5,5,3,1,1,3,2,3,3,4,4,5,5,2,2,2,2,1,15.5
5,5,5,5,5,4,3,1,1,1,3,4,3,4,4,5,4,2,1,1,1,2,15
4,4,4,4,4,4,4,2,1,2,2,4,4,4,4,5,5,5,1,2,1,1,15.5
3,3,4,3,5,4,4,1,3,2,1,3,3,4,3,5,5,4,3,1,2,2,14.5
5,4,3,4,4,3,3,2,2,2,3,4,4,4,4,3,4,3,2,2,2,3,16
3,3,4,4,4,4,4,2,2,1,1,3,3,4,2,5,4,5,2,2,1,2,14.5
3,4,5,1,5,5,5,1,1,1,3,3,1,3,4,5,5,5,2,2,4,3,15
4,4,4,3,4,3,3,4,3,3,3,4,3,4,4,2,3,3,2,2,3,3,16.5
4,4,4,4,5,4,4,4,4,2,4,4,3,4,2,3,5,3,1,4,2,2,16.5
3,3,3,3,4,5,5,3,3,3,3,4,3,3,3,5,4,5,3,3,3,3,16
3,3,4,3,5,4,3,2,3,2,3,4,3,4,3,5,5,5,3,4,2,3,14.5
4,4,4,2,4,5,5,3,4,4,4,4,3,4,4,4,4,4,2,2,4,4,19
4,1,4,3,4,4,4,4,4,2,4,3,3,4,4,4,4,4,3,4,4,3,14.5
4,4,4,3,5,4,3,1,5,2,1,4,4,4,3,2,5,5,3,2,4,4,15.5
4,5,5,4,3,4,4,2,5,2,3,4,4,4,3,2,5,4,3,3,4,4,18.5
4,2,3,3,2,3,4,3,2,3,4,4,3,4,3,3,4,4,2,4,4,4,17
4,3,4,4,5,4,5,3,3,4,3,4,4,4,4,5,4,5,4,4,4,3,18.5
3,3,3,3,4,2,1,1,4,4,3,3,4,3,2,3,3,3,2,2,2,2,16.5
3,3,3,4,5,3,5,3,4,3,4,4,4,3,3,4,4,4,2,4,4,3,16
5,5,4,4,4,3,3,1,2,4,4,5,5,4,4,5,4,5,1,4,4,4,19.5
4,4,5,3,5,5,5,2,3,4,3,4,3,4,4,5,5,5,2,3,4,3,18
4,3,4,4,4,4,4,2,2,1,2,4,3,4,4,5,4,5,1,4,4,4,16.5
5,5,4,4,4,4,4,4,3,4,4,4,2,2,2,4,3,4,2,4,4,2,15
4,5,5,5,5,4,3,1,1,4,4,4,5,5,3,4,3,3,1,1,3,3,18.5
4,4,4,2,4,4,4,2,2,2,3,4,4,4,4,4,4,4,2,2,2,4,16.5
5,5,5,5,3,5,3,2,3,3,2,5,5,5,3,5,4,5,1,4,4,3,21.5
1,5,5,4,5,5,5,2,2,4,2,5,5,5,4,5,4,4,2,2,2,4,20.5
4,4,5,4,4,3,4,1,1,3,4,4,4,4,4,4,4,4,1,1,3,4,18.5
5,3,3,4,4,5,4,2,2,3,3,5,2,3,5,4,4,4,3,3,4,4,18.5
3,4,4,3,4,4,4,1,1,1,2,2,4,4,3,2,2,2,1,1,2,2,14
4,4,4,2,4,3,3,1,1,2,3,4,4,4,4,4,5,4,2,2,2,2,16
4,3,3,3,5,5,5,3,3,3,2,3,5,4,5,5,5,5,2,2,1,3,16
4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,19
4,3,3,2,4,3,4,1,2,2,3,4,4,4,4,4,3,4,1,2,2,3,14.5
3,4,5,3,4,3,1,1,3,1,1,1,3,4,1,4,1,3,3,4,3,3,15
4,3,4,3,5,5,5,2,5,3,3,4,5,5,5,2,4,3,3,3,3,3,18
4,4,4,4,5,4,4,2,2,2,2,4,4,4,5,4,4,4,2,4,2,4,18
4,3,4,3,4,4,4,4,4,2,2,3,3,3,3,5,4,4,2,4,3,3,16.5
4,4,4,4,5,5,5,1,1,2,3,4,3,4,3,5,5,5,1,1,1,2,17.5
3,3,3,3,4,3,4,2,2,2,3,2,3,2,2,2,2,1,1,1,3,2,13.5
2,2,3,2,2,3,5,3,1,1,1,4,3,2,1,3,4,1,3,1,2,3,13.5
3,4,3,4,5,4,3,2,1,2,3,3,4,3,4,5,3,4,1,4,2,3,16.5
5,5,5,3,4,2,3,1,2,2,3,4,4,4,4,4,2,3,2,4,2,4,16.5
4,3,4,4,4,3,4,4,2,3,4,3,3,4,4,4,2,2,2,1,2,2,16
3,4,5,3,5,5,5,2,3,3,4,3,3,3,3,4,4,4,2,4,2,3,15.5
3,2,3,4,4,4,4,3,2,3,4,4,3,2,4,4,4,4,2,2,4,4,17.5
4,4,4,3,2,3,2,2,2,4,3,4,4,4,3,4,4,3,2,2,2,3,15.5
4,4,5,3,5,4,4,2,4,3,4,4,3,4,4,5,5,5,2,4,3,3,18
4,4,5,4,4,4,2,1,2,4,3,4,4,4,4,4,4,3,1,1,3,1,17.5
3,4,4,4,2,3,3,2,4,3,3,4,4,3,3,3,3,3,3,4,3,4,15.5
2,3,4,4,4,4,4,4,2,2,2,2,3,3,2,5,5,5,2,2,2,2,14.5
2,4,4,2,4,4,2,3,3,2,2,1,2,2,1,1,2,1,1,1,2,1,15.5
4,5,4,4,2,2,4,2,4,2,2,4,4,4,1,4,2,4,4,2,4,2,16.5
5,4,4,5,1,1,4,3,4,4,3,5,5,5,4,3,4,5,3,4,4,3,18.5
4,3,3,4,4,5,5,1,2,2,3,4,3,4,3,5,5,5,2,4,4,4,16.5
4,5,5,3,5,4,3,4,4,4,4,4,5,1,4,4,4,3,3,3,4,4,17.5
5,3,4,3,5,5,5,2,4,2,2,4,3,4,3,4,4,4,4,4,4,4,17.5
3,3,3,3,5,2,3,4,4,4,3,4,4,3,3,5,5,5,1,5,5,3,17
4,4,4,4,4,4,4,2,1,4,4,4,5,5,5,4,5,4,1,4,4,3,18.5
4,4,4,4,4,4,4,2,2,2,4,4,4,4,2,4,4,4,2,2,2,2,16.5
4,4,5,4,4,4,4,4,2,2,2,4,5,5,4,5,4,4,4,4,2,3,17.5
5,5,5,3,4,4,5,2,4,2,3,4,4,4,2,5,5,5,1,4,2,3,17
4,3,3,4,2,4,4,4,4,4,4,5,5,5,4,3,4,5,4,4,3,3,17
4,4,5,4,4,5,5,5,4,4,5,4,4,4,3,4,4,4,2,4,3,3,17.5
3,3,4,3,2,4,4,3,4,4,4,2,4,4,4,4,4,4,2,2,2,2,15.5
4,3,4,3,4,3,4,3,3,4,3,4,4,4,4,3,4,3,2,4,2,3,15
4,4,4,3,3,4,5,3,2,3,3,4,4,5,3,4,5,4,2,3,4,3,19
4,3,3,3,4,5,5,1,2,2,4,4,3,2,2,4,5,5,2,4,2,3,15.5
3,3,5,3,3,4,3,2,2,2,2,4,2,4,3,4,4,4,4,4,2,2,14
4,4,4,3,4,4,5,3,3,3,3,3,3,4,3,5,5,5,3,3,4,3,17
3,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4,3,3,3,3,16.5
4,4,4,4,2,4,2,2,2,4,4,4,5,4,3,3,4,5,2,4,4,3,18.5
4,4,4,4,5,5,5,3,4,3,3,4,2,4,3,5,5,5,1,4,4,3,18.5
4,3,4,4,4,4,3,1,1,1,4,4,3,4,4,4,4,3,2,4,2,4,17
4,4,4,4,5,4,4,1,4,3,3,4,3,3,2,3,2,2,3,2,2,1,15
2,1,1,1,4,5,5,1,1,1,2,2,3,5,3,5,5,5,1,1,1,2,14
4,4,5,5,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,4,4,19.5
3,3,4,3,4,4,4,2,2,2,3,3,4,4,3,2,2,2,1,2,1,3,14.5
5,3,4,3,5,4,5,1,2,4,4,4,3,4,4,5,4,3,2,4,4,4,18.5
2,3,2,2,1,2,2,2,2,3,2,2,2,1,1,2,1,2,1,1,2,1,15
4,4,4,3,4,4,4,2,2,3,4,4,4,4,4,4,4,4,2,3,4,4,17
4,4,4,3,4,5,1,3,2,2,3,3,3,4,3,2,5,3,2,2,2,2,14
1,2,3,3,5,5,5,1,1,2,4,3,4,4,2,4,3,3,3,1,2,4,15
3,4,3,4,4,4,5,3,4,3,2,4,4,3,3,4,3,4,3,2,4,4,16
4,3,4,3,4,4,4,1,4,2,2,4,3,3,4,3,4,3,3,3,2,4,17
4,4,4,4,3,2,4,2,2,2,3,4,4,4,4,4,3,3,2,3,3,3,17
4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,19
4,4,4,3,5,5,5,2,2,2,2,2,4,5,2,4,5,5,1,2,2,3,14.5
2,2,1,2,4,2,3,3,3,2,2,1,1,1,2,1,1,3,3,2,3,2,13
3,5,3,4,5,5,5,1,1,2,1,5,3,5,1,5,5,5,1,1,1,2,16
4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16
4,4,4,3,3,4,4,3,4,3,4,5,5,4,4,4,4,3,2,5,2,3,18
4,3,3,3,5,5,5,2,5,3,3,4,4,4,4,2,1,1,1,4,4,3,17.5
5,5,4,3,5,5,5,2,5,1,4,5,5,4,3,4,4,4,2,4,4,3,18.5
4,3,2,3,4,4,2,3,3,4,2,3,3,3,2,2,2,3,3,4,2,4,15.5
4,3,4,3,3,2,2,2,4,3,4,3,3,4,3,2,2,2,3,3,2,3,14
4,3,3,3,3,1,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,14.5
3,3,4,3,4,4,3,4,4,2,2,4,3,5,4,5,4,4,1,4,4,3,17.5
4,5,4,3,5,5,5,3,3,4,4,4,3,3,2,4,3,3,3,3,1,3,17
4,4,4,3,4,2,2,3,4,5,4,3,2,4,4,2,1,1,3,4,3,3,14.5
4,3,4,3,4,4,4,2,3,2,2,5,4,4,3,5,4,4,1,4,3,3,17
3,5,5,3,5,3,3,1,3,4,3,3,5,5,4,5,3,4,1,4,3,1,15
2,1,4,4,4,4,4,1,1,1,3,1,1,1,3,5,5,5,1,5,1,4,15
4,4,5,4,4,2,4,2,1,2,3,5,5,5,4,4,4,5,2,4,4,4,17.5
3,4,3,2,4,3,3,1,3,2,3,4,3,4,3,4,4,4,3,4,3,3,16
4,5,5,4,5,5,5,1,1,1,2,4,3,4,3,5,5,5,2,2,3,4,18
4,5,4,4,4,4,4,3,4,4,4,4,5,5,4,5,5,4,4,4,4,4,20
5,4,5,5,5,3,4,4,3,3,3,4,3,4,4,4,2,5,3,4,4,4,18.5
4,4,3,3,5,4,4,2,2,3,4,5,4,4,4,5,5,5,2,3,3,4,17.5
5,5,5,4,1,5,5,5,4,4,5,4,4,4,5,5,4,5,4,4,3,5,20
4,5,5,4,5,5,5,5,5,4,5,4,5,5,4,2,5,5,2,2,5,5,21
1,2,2,3,1,1,1,2,3,3,2,2,1,2,1,2,2,4,2,3,4,5,13.5
4,3,3,4,5,5,4,1,2,2,3,3,3,4,3,5,5,5,1,1,2,3,16
3,3,4,3,4,4,4,2,2,2,3,3,4,5,3,3,3,3,3,2,2,3,14.5
3,3,3,4,5,4,3,4,2,3,4,5,5,4,3,4,3,4,2,3,2,3,17.5
4,3,3,2,5,5,5,1,4,2,3,4,5,4,3,4,4,1,3,4,3,5,16.5
4,3,4,3,5,5,5,2,1,1,1,5,4,5,5,5,4,4,1,5,2,3,18.5
